symbol	mcap_cr	pe	pb	industry
THELEELA	13839	35.6	2.1	Hotels & Resorts
THERMAX	36910	54.0	7.3	Heavy Electrical Equipment
TIINDIA	49993	83.8	6.6	Auto Components & Equipments
TIMKEN	25056	57.7	9.0	Abrasives & Bearings
TITAGARH	8610	47.5	3.4	Railway Wagons
TITAN	376648	79.1	29.4	Gems Jewellery And Watches
TMPV	113196	28.9	1.0	Passenger Cars & Utility Vehicles
TORNTPHARM	135771	59.9	16.1	Pharmaceuticals
TORNTPOWER	69493	21.9	3.7	Integrated Power Utilities
TRENT	136280	83.1	22.3	Speciality Retail
TRIDENT	12340	30.2	2.6	Other Textile Products
TRITURBINE	14572	42.5	11.2	Heavy Electrical Equipment
TRIVENI	8594	28.0	2.8	Sugar
TTML	7334		-0.4	Telecom - Cellular & Fixed line services
TVSMOTOR	165749	75.6	20.4	2/3 Wheelers
UBL	39177	95.9	9.0	Breweries & Distilleries
UCOBANK	30555	11.8	0.9	Public Sector Bank
ULTRACEMCO	322267	42.1	4.5	Cement & Cement Products
UNIONBANK	132951	7.0	1.0	Public Sector Bank
UNITDSPR	89929	51.1	10.4	Breweries & Distilleries
UNOMINDA	60624	53.2	9.7	Auto Components & Equipments
UPL	51372	29.0	1.6	Pesticides & Agrochemicals
URBANCO	18784		8.0	Unknown
USHAMART	12461	28.5	4.2	Iron & Steel Products
UTIAMC	12106	21.7	2.7	Asset Management Company
VBL	135622	44.8	6.9	Other Beverages
VEDL	269664	19.2	6.7	Diversified Metals
